SaleLineID,InvoiceID,DateKey,ProductID,QuantitySold,UnitSellingPrice,DiscountAmount,TaxAmount,LineTotal,PaymentMethod
SL00000192,INV202400079,20240106,P000253,2,12.99,0,3.12,29.1,Debit
SL00000193,INV202400079,20240106,P000774,1,4.99,0,0.6,5.59,Debit
SL00000194,INV202400080,20240106,P000301,3,4.29,0,1.54,14.41,Debit
SL00000195,INV202400081,20240106,P000181,1,7.99,0,0,7.99,Credit
SL00000196,INV202400081,20240106,P000807,1,7.99,0,0.96,8.95,Credit
SL00000197,INV202400082,20240106,P000222,1,5.29,0,0.63,5.92,Credit
SL00000198,INV202400083,20240106,P000618,3,9.79,0,3.52,32.89,Debit
SL00000199,INV202400083,20240106,P000381,3,1.79,0,0.64,6.01,Debit
SL00000200,INV202400083,20240106,P000171,2,2.49,0.64,0,4.34,Debit
SL00000201,INV202400083,20240106,P000680,1,12.99,0,0,12.99,Debit
SL00000202,INV202400084,20240106,P000473,2,2.49,0,0,4.98,Debit
SL00000203,INV202400084,20240106,P000454,3,9.49,0,0,28.47,Debit
SL00000204,INV202400084,20240106,P000332,3,4.79,0,1.72,16.09,Debit
SL00000205,INV202400084,20240106,P000150,2,1.79,1.82,0,1.76,Debit
SL00000206,INV202400085,20240106,P000106,1,5.69,0,0,5.69,Debit
SL00000207,INV202400085,20240106,P000169,1,4.79,0,0,4.79,Debit
SL00000208,INV202400085,20240106,P000564,3,6.19,0,0,18.57,Debit
SL00000209,INV202400086,20240107,P000732,3,11.49,0,4.14,38.61,Debit
SL00000210,INV202400086,20240107,P000643,2,10.99,4.96,0,17.02,Debit
SL00000211,INV202400087,20240107,P000709,3,16.99,0,0,50.97,Debit
SL00000212,INV202400087,20240107,P000508,1,3.69,0,0,3.69,Debit
SL00000213,INV202400088,20240107,P000001,1,7.49,0,0,7.49,Debit
SL00000214,INV202400089,20240107,P000405,1,4.49,3.32,0.14,1.31,Debit
SL00000215,INV202400089,20240107,P000761,3,12.99,0,4.68,43.65,Debit
SL00000216,INV202400090,20240107,P000041,3,5.69,0,0,17.07,Cash
SL00000217,INV202400090,20240107,P000240,1,9.29,4.46,0.58,5.41,Cash
SL00000218,INV202400090,20240107,P000653,1,12.49,0,0,12.49,Cash
SL00000219,INV202400090,20240107,P000266,1,7.79,0,0.93,8.72,Cash
SL00000220,INV202400091,20240107,P000435,1,6.49,0,0.78,7.27,Credit
SL00000221,INV202400091,20240107,P000165,1,1.49,0.3,0,1.19,Credit
SL00000222,INV202400092,20240107,P000706,2,35.99,0,0,71.98,Debit
SL00000223,INV202400092,20240107,P000219,1,4.99,0,0.6,5.59,Debit
SL00000224,INV202400092,20240107,P000680,3,12.99,0,0,38.97,Debit
SL00000225,INV202400092,20240107,P000028,1,8.99,0,0,8.99,Debit
SL00000226,INV202400093,20240107,P000091,2,19.99,0,0,39.98,Debit
SL00000227,INV202400093,20240107,P000201,2,3.19,1.19,0,5.19,Debit
SL00000228,INV202400093,20240107,P000779,1,8.99,0,1.08,10.07,Debit
SL00000229,INV202400094,20240107,P000132,1,1.19,0,0,1.19,Debit
SL00000230,INV202400094,20240107,P000338,2,5.79,5.54,0.72,6.76,Debit
SL00000231,INV202400094,20240107,P000340,2,5.79,0,1.39,12.97,Debit
SL00000232,INV202400094,20240107,P000305,1,6.29,0,0.75,7.04,Debit
SL00000233,INV202400095,20240107,P000399,1,4.99,0,0.6,5.59,Cash
SL00000234,INV202400096,20240107,P000506,3,5.29,0,0,15.87,Credit
SL00000235,INV202400096,20240107,P000687,2,18.49,1.98,0,35,Credit
SL00000236,INV202400097,20240107,P000767,3,8.49,0,3.06,28.53,Credit
SL00000237,INV202400098,20240107,P000211,1,8.99,0,1.08,10.07,Debit
SL00000238,INV202400098,20240107,P000286,1,7.99,0.64,0.88,8.23,Debit
SL00000239,INV202400099,20240107,P000332,1,4.79,0,0.57,5.36,Debit
SL00000240,INV202400099,20240107,P000640,3,10.99,0,3.96,36.93,Debit
SL00000241,INV202400100,20240107,P000823,3,14.99,2.76,5.07,47.28,Credit
SL00000242,INV202400101,20240107,P000737,1,5.79,0,0.69,6.48,Debit
SL00000243,INV202400101,20240107,P000342,3,5.69,0,2.05,19.12,Debit
SL00000244,INV202400101,20240107,P000234,2,9.29,0,2.23,20.81,Debit
SL00000245,INV202400101,20240107,P000586,3,6.49,0,0,19.47,Debit
SL00000246,INV202400102,20240107,P000013,3,7.49,4.72,0,17.75,Credit
SL00000247,INV202400102,20240107,P000050,3,7.79,0,0,23.37,Credit
SL00000248,INV202400103,20240107,P000199,1,4.29,0,0,4.29,Debit
SL00000249,INV202400104,20240108,P000788,2,8.49,0,2.04,19.02,Debit
SL00000250,INV202400104,20240108,P000770,2,12.99,0,3.12,29.1,Debit
SL00000251,INV202400104,20240108,P000466,3,2.29,0,0,6.87,Debit
SL00000252,INV202400104,20240108,P000598,1,6.79,4.16,0.32,2.95,Debit
SL00000253,INV202400105,20240108,P000766,1,9.99,0,1.2,11.19,Debit
SL00000254,INV202400105,20240108,P000531,3,0.99,0,0,2.97,Debit
SL00000255,INV202400105,20240108,P000788,1,8.49,0.75,0.93,8.67,Debit
SL00000256,INV202400106,20240108,P000291,3,2.79,4.07,0.52,4.82,Credit
SL00000257,INV202400107,20240108,P000609,1,5.99,0,0.72,6.71,Cash
SL00000258,INV202400107,20240108,P000807,2,7.99,0,1.92,17.9,Cash
SL00000259,INV202400107,20240108,P000699,2,26.99,0,0,53.98,Cash
SL00000260,INV202400108,20240108,P000059,1,8.49,0,0,8.49,Debit
SL00000261,INV202400108,20240108,P000043,1,6.19,0,0,6.19,Debit
SL00000262,INV202400108,20240108,P000457,3,2.79,1.67,0,6.7,Debit
SL00000263,INV202400109,20240108,P000606,3,8.29,0,2.98,27.85,Cash
SL00000264,INV202400109,20240108,P000776,1,4.49,0,0.54,5.03,Cash
SL00000265,INV202400109,20240108,P000555,3,3.39,0,0,10.17,Cash
SL00000266,INV202400109,20240108,P000690,3,15.49,0,0,46.47,Cash
SL00000267,INV202400110,20240108,P000320,1,4.49,0,0.54,5.03,Credit
SL00000268,INV202400110,20240108,P000724,1,15.99,0,1.92,17.91,Credit
SL00000269,INV202400110,20240108,P000619,3,9.99,0,3.6,33.57,Credit
SL00000270,INV202400111,20240108,P000161,2,5.39,0,0,10.78,Debit
SL00000271,INV202400111,20240108,P000604,1,7.99,0,0.96,8.95,Debit
SL00000272,INV202400112,20240108,P000006,2,8.49,0,0,16.98,Debit
SL00000273,INV202400113,20240108,P000556,3,7.19,0,0,21.57,Debit
SL00000274,INV202400113,20240108,P000758,3,8.49,0,3.06,28.53,Debit
SL00000275,INV202400113,20240108,P000680,2,12.99,0,0,25.98,Debit
SL00000276,INV202400114,20240108,P000793,1,14.49,0,1.74,16.23,Credit
SL00000277,INV202400114,20240108,P000353,1,8.79,0,1.05,9.84,Credit
SL00000278,INV202400114,20240108,P000548,3,5.79,0,0,17.37,Credit
SL00000279,INV202400114,20240108,P000315,1,9.49,0,1.14,10.63,Credit
SL00000280,INV202400115,20240108,P000386,3,2.09,0,0.75,7.02,Credit
SL00000281,INV202400115,20240108,P000010,1,6.99,2.12,0,4.87,Credit
SL00000282,INV202400115,20240108,P000547,1,4.49,0,0,4.49,Credit
SL00000283,INV202400116,20240109,P000530,1,0.99,0,0,0.99,Debit
SL00000284,INV202400116,20240109,P000336,2,3.79,0,0.91,8.49,Debit
SL00000285,INV202400117,20240109,P000334,2,4.79,0,1.15,10.73,Credit
SL00000286,INV202400117,20240109,P000555,1,3.39,0,0,3.39,Credit
SL00000287,INV202400118,20240109,P000621,1,7.49,0,0.9,8.39,Debit
SL00000288,INV202400118,20240109,P000734,3,7.19,0,2.59,24.16,Debit
SL00000289,INV202400119,20240109,P000271,3,3.49,0,1.26,11.73,Cash
SL00000290,INV202400120,20240109,P000349,3,2.49,4.84,0.32,2.95,Debit
SL00000291,INV202400120,20240109,P000039,3,6.29,0,0,18.87,Debit
SL00000292,INV202400120,20240109,P000497,3,7.99,0,0,23.97,Debit
SL00000293,INV202400120,20240109,P000310,2,5.69,0,1.37,12.75,Debit
SL00000294,INV202400121,20240109,P000360,3,8.79,0,3.16,29.53,Credit
SL00000295,INV202400122,20240109,P000532,3,0.99,0,0,2.97,Debit
SL00000296,INV202400122,20240109,P000643,1,10.99,3.04,0,7.95,Debit
SL00000297,INV202400122,20240109,P000238,2,8.99,0.76,2.07,19.29,Debit
SL00000298,INV202400122,20240109,P000694,1,9.99,0,0,9.99,Debit
SL00000299,INV202400123,20240109,P000644,1,16.99,0,0,16.99,Debit
SL00000300,INV202400123,20240109,P000033,1,7.29,1.05,0,6.24,Debit
SL00000301,INV202400124,20240109,P000225,2,5.59,0,1.34,12.52,Debit
SL00000302,INV202400124,20240109,P000287,3,7.99,0,2.88,26.85,Debit
SL00000303,INV202400125,20240109,P000623,2,7.99,0,1.92,17.9,Credit
SL00000304,INV202400126,20240110,P000608,1,5.29,0,0.63,5.92,Cash
SL00000305,INV202400127,20240110,P000344,3,7.99,0,2.88,26.85,Credit
SL00000306,INV202400128,20240110,P000838,3,18.49,0,6.66,62.13,Debit
SL00000307,INV202400128,20240110,P000306,3,6.99,0,2.52,23.49,Debit
SL00000308,INV202400129,20240110,P000565,3,5.79,0,0,17.37,Credit
SL00000309,INV202400129,20240110,P000506,3,5.29,0,0,15.87,Credit
SL00000310,INV202400129,20240110,P000440,2,6.29,0,1.51,14.09,Credit
SL00000311,INV202400130,20240110,P000472,2,2.49,1.79,0,3.19,Credit
SL00000312,INV202400130,20240110,P000106,1,5.69,0,0,5.69,Credit
SL00000313,INV202400130,20240110,P000443,3,5.49,0,1.98,18.45,Credit
SL00000314,INV202400131,20240110,P000348,2,3.89,2.71,0.61,5.68,Credit
SL00000315,INV202400131,20240110,P000085,3,6.99,0,0,20.97,Credit
SL00000316,INV202400131,20240110,P000226,3,5.79,0,2.08,19.45,Credit
SL00000317,INV202400132,20240110,P000143,3,3.59,0,0,10.77,Credit
SL00000318,INV202400132,20240110,P000033,2,7.29,0,0,14.58,Credit
SL00000319,INV202400132,20240110,P000324,2,3.29,0,0.79,7.37,Credit
SL00000320,INV202400133,20240110,P000341,2,5.69,0,1.37,12.75,Credit
SL00000321,INV202400133,20240110,P000731,1,12.99,0,1.56,14.55,Credit
SL00000322,INV202400133,20240110,P000332,2,4.79,0,1.15,10.73,Credit
SL00000323,INV202400133,20240110,P000413,3,2.99,0,1.08,10.05,Credit
SL00000324,INV202400134,20240110,P000216,1,9.79,0,1.17,10.96,Debit
SL00000325,INV202400135,20240110,P000117,1,5.19,0,0,5.19,Debit
SL00000326,INV202400135,20240110,P000253,3,12.99,2.47,4.38,40.88,Debit
SL00000327,INV202400135,20240110,P000569,2,5.79,0,0,11.58,Debit
SL00000328,INV202400135,20240110,P000225,3,5.59,0,2.01,18.78,Debit
SL00000329,INV202400136,20240110,P000688,3,18.99,0,0,56.97,Credit
SL00000330,INV202400136,20240110,P000257,1,12.99,0,1.56,14.55,Credit
SL00000331,INV202400136,20240110,P000560,1,2.29,0,0,2.29,Credit
SL00000332,INV202400136,20240110,P000261,2,8.19,0,1.97,18.35,Credit
SL00000333,INV202400137,20240110,P000761,3,12.99,3.89,4.21,39.29,Credit
SL00000334,INV202400137,20240110,P000399,3,4.99,2.4,1.51,14.08,Credit
SL00000335,INV202400137,20240110,P000090,2,18.99,0,0,37.98,Credit
SL00000336,INV202400137,20240110,P000283,2,2.49,1.23,0.45,4.2,Credit
SL00000337,INV202400138,20240110,P000427,2,2.29,2.11,0.3,2.77,Credit
SL00000338,INV202400138,20240110,P000463,2,5.69,4.83,0,6.55,Credit
SL00000339,INV202400138,20240110,P000483,1,5.99,0,0,5.99,Credit
SL00000340,INV202400139,20240111,P000606,1,8.29,0,0.99,9.28,Debit
SL00000341,INV202400139,20240111,P000314,3,11.29,0,4.06,37.93,Debit
SL00000342,INV202400139,20240111,P000619,2,9.99,0,2.4,22.38,Debit
SL00000343,INV202400139,20240111,P000447,2,4.49,0,1.08,10.06,Debit
SL00000344,INV202400140,20240111,P000828,1,21.49,0,2.58,24.07,Credit
SL00000345,INV202400140,20240111,P000207,2,4.69,0,0,9.38,Credit
SL00000346,INV202400140,20240111,P000191,3,2.49,0,0,7.47,Credit
SL00000347,INV202400140,20240111,P000730,3,8.49,0,3.06,28.53,Credit
SL00000348,INV202400141,20240111,P000291,1,2.79,0,0.33,3.12,Credit
SL00000349,INV202400141,20240111,P000272,2,3.49,0,0.84,7.82,Credit
SL00000350,INV202400141,20240111,P000448,2,4.29,0,1.03,9.61,Credit
SL00000351,INV202400142,20240111,P000243,1,5.99,0,0.72,6.71,Credit
