PurchaseLineID,PurchaseOrderID,DateKey,SupplierID,ProductID,QuantityPurchased,UnitCost,TotalCost,PurchaseStatus
PL0000091,PO202500016,20250315,SUP012,P000057,26,6.99,181.74,Received
PL0000092,PO202500016,20250315,SUP012,P000060,23,6.49,149.27,Received
PL0000093,PO202500016,20250315,SUP012,P000069,21,5.99,125.79,Received
PL0000094,PO202500016,20250315,SUP012,P000010,22,4.99,109.78,Received
PL0000095,PO202400017,20240915,SUP006,P000395,22,2.29,50.38,Received
PL0000096,PO202400017,20240915,SUP006,P000444,22,1.89,41.58,Received
PL0000097,PO202400017,20240915,SUP006,P000400,26,3.49,90.74,Received
PL0000098,PO202400017,20240915,SUP006,P000401,23,8.49,195.27,Received
PL0000099,PO202500018,20250615,SUP013,P000051,23,5.69,130.87,Received
PL0000100,PO202500018,20250615,SUP013,P000056,23,5.99,137.77,Received
PL0000101,PO202500018,20250615,SUP013,P000006,27,5.99,161.73,Received
PL0000102,PO202500018,20250615,SUP013,P000055,22,5.19,114.18,Received
PL0000103,PO202500018,20250615,SUP013,P000068,22,5.99,131.78,Received
PL0000104,PO202500018,20250615,SUP013,P000032,26,5.19,134.94,Received
PL0000105,PO202500019,20250115,SUP008,P000609,26,3.99,103.74,Received
PL0000106,PO202500019,20250115,SUP008,P000633,22,3.99,87.78,Received
PL0000107,PO202500019,20250115,SUP008,P000638,22,4.49,98.78,Received
PL0000108,PO202500019,20250115,SUP008,P000596,24,4.99,119.76,Received
PL0000109,PO202500019,20250115,SUP008,P000603,21,5.29,111.09,Received
PL0000110,PO202500019,20250115,SUP008,P000601,21,4.49,94.29,Received
PL0000111,PO202500019,20250115,SUP008,P000615,22,5.49,120.78,Received
PL0000112,PO202500019,20250115,SUP008,P000632,22,7.99,175.78,Received
PL0000113,PO202400020,20240315,SUP016,P000330,24,3.49,83.76,Received
PL0000114,PO202400020,20240315,SUP016,P000298,24,2.19,52.56,Received
PL0000115,PO202400020,20240315,SUP016,P000278,22,2.29,50.38,Received
PL0000116,PO202400020,20240315,SUP016,P000300,22,2.69,59.18,Received
PL0000117,PO202400020,20240315,SUP016,P000344,29,5.49,159.21,Received
PL0000118,PO202400020,20240315,SUP016,P000287,25,5.49,137.25,Received
PL0000119,PO202400021,20241215,SUP029,P000448,23,2.79,64.17,Received
PL0000120,PO202400021,20241215,SUP029,P000434,26,1.19,30.94,Received
PL0000121,PO202400021,20241215,SUP029,P000398,23,2.49,57.27,Received
PL0000122,PO202400021,20241215,SUP029,P000377,25,2.99,74.75,Received
PL0000123,PO202500022,20251015,SUP009,P000689,23,11.99,275.77,Received
PL0000124,PO202500022,20251015,SUP009,P000681,28,6.99,195.72,Received
PL0000125,PO202500022,20251015,SUP009,P000685,27,8.49,229.23,Received
PL0000126,PO202500022,20251015,SUP009,P000691,22,9.99,219.78,Received
PL0000127,PO202500022,20251015,SUP009,P000642,21,5.99,125.79,Received
PL0000128,PO202500022,20251015,SUP009,P000644,22,11.99,263.78,Received
PL0000129,PO202500022,20251015,SUP009,P000643,24,7.49,179.76,Received
PL0000130,PO202500022,20251015,SUP009,P000695,23,7.49,172.27,Received
PL0000131,PO202500023,20250115,SUP013,P000068,22,5.99,131.78,Received
PL0000132,PO202500023,20250115,SUP013,P000032,25,5.19,129.75,Received
PL0000133,PO202500023,20250115,SUP013,P000067,22,5.99,131.78,Received
PL0000134,PO202500023,20250115,SUP013,P000035,23,4.29,98.67,Received
PL0000135,PO202500023,20250115,SUP013,P000065,26,7.29,189.54,Received
PL0000136,PO202500023,20250115,SUP013,P000005,25,4.99,124.75,Received
PL0000137,PO202500023,20250115,SUP013,P000055,26,5.19,134.94,Received
PL0000138,PO202500024,20250315,SUP008,P000596,23,4.99,114.77,Received
PL0000139,PO202500024,20250315,SUP008,P000595,31,4.69,145.39,Received
PL0000140,PO202500024,20250315,SUP008,P000608,22,3.49,76.78,Received
PL0000141,PO202500024,20250315,SUP008,P000625,26,4.29,111.54,Received
PL0000142,PO202500024,20250315,SUP008,P000618,28,6.79,190.12,Received
PL0000143,PO202500025,20251115,SUP005,P000350,24,1.69,40.56,Received
PL0000144,PO202500025,20251115,SUP005,P000304,33,4.49,148.17,Received
PL0000145,PO202500025,20251115,SUP005,P000306,23,4.79,110.17,Received
PL0000146,PO202500025,20251115,SUP005,P000285,23,2.49,57.27,Received
PL0000147,PO202400026,20240615,SUP004,P000242,23,3.99,91.77,Received
PL0000148,PO202400026,20240615,SUP004,P000267,26,4.29,111.54,Received
PL0000149,PO202400026,20240615,SUP004,P000249,23,8.49,195.27,Received
PL0000150,PO202400026,20240615,SUP004,P000232,22,5.99,131.78,Received
PL0000151,PO202400026,20240615,SUP004,P000253,25,8.99,224.75,Received
PL0000152,PO202400026,20240615,SUP004,P000268,21,4.29,90.09,Received
PL0000153,PO202400026,20240615,SUP004,P000269,22,4.49,98.78,Received
PL0000154,PO202400026,20240615,SUP004,P000243,23,4.19,96.37,Received
PL0000155,PO202500027,20250515,SUP002,P000089,21,4.49,94.29,Received
PL0000156,PO202500027,20250515,SUP002,P000113,26,4.59,119.34,Received
PL0000157,PO202500027,20250515,SUP002,P000077,22,2.49,54.78,Received
PL0000158,PO202500027,20250515,SUP002,P000106,21,3.89,81.69,Received
PL0000159,PO202500027,20250515,SUP002,P000088,23,4.49,103.27,Received
PL0000160,PO202500027,20250515,SUP002,P000105,24,3.49,83.76,Received
PL0000161,PO202500027,20250515,SUP002,P000118,21,4.19,87.99,Received
PL0000162,PO202500028,20250415,SUP023,P000103,21,3.39,71.19,Received
PL0000163,PO202500028,20250415,SUP023,P000117,21,3.59,75.39,Received
PL0000164,PO202500028,20250415,SUP023,P000099,21,3.39,71.19,Received
PL0000165,PO202500028,20250415,SUP023,P000091,26,13.49,350.74,Received
PL0000166,PO202400029,20240315,SUP013,P000035,21,4.29,90.09,Received
PL0000167,PO202400029,20240315,SUP013,P000047,21,4.29,90.09,Received
PL0000168,PO202400029,20240315,SUP013,P000055,23,5.19,119.37,Received
PL0000169,PO202400029,20240315,SUP013,P000050,28,5.49,153.72,Received
PL0000170,PO202400029,20240315,SUP013,P000054,23,5.29,121.67,Received
PL0000171,PO202400030,20240715,SUP023,P000091,23,13.49,310.27,Cancelled
PL0000172,PO202400030,20240715,SUP023,P000079,23,2.89,66.47,Cancelled
PL0000173,PO202400030,20240715,SUP023,P000123,22,4.99,109.78,Cancelled
PL0000174,PO202400030,20240715,SUP023,P000086,23,4.29,98.67,Cancelled
PL0000175,PO202400030,20240715,SUP023,P000090,22,12.99,285.78,Cancelled
PL0000176,PO202400030,20240715,SUP023,P000124,23,5.39,123.97,Cancelled
PL0000177,PO202400030,20240715,SUP023,P000128,23,4.19,96.37,Cancelled
PL0000178,PO202500031,20250915,SUP012,P000020,24,6.79,162.96,Received
PL0000179,PO202500031,20250915,SUP012,P000019,22,5.99,131.78,Received
PL0000180,PO202500031,20250915,SUP012,P000009,25,3.49,87.25,Received
PL0000181,PO202500031,20250915,SUP012,P000015,22,5.99,131.78,Received
PL0000182,PO202400032,20240615,SUP004,P000221,21,3.69,77.49,Received
PL0000183,PO202400032,20240615,SUP004,P000211,24,5.99,143.76,Received
PL0000184,PO202400032,20240615,SUP004,P000260,23,5.49,126.27,Received
PL0000185,PO202400032,20240615,SUP004,P000238,26,6.49,168.74,Received
PL0000186,PO202400032,20240615,SUP004,P000225,21,3.89,81.69,Received
PL0000187,PO202400032,20240615,SUP004,P000246,24,4.39,105.36,Received
PL0000188,PO202400032,20240615,SUP004,P000224,23,3.99,91.77,Received
PL0000189,PO202500033,20250615,SUP011,P000842,23,5.99,137.77,Received
PL0000190,PO202500033,20250615,SUP011,P000847,23,12.99,298.77,Received
PL0000191,PO202400034,20240615,SUP006,P000450,21,2.99,62.79,Received
PL0000192,PO202400034,20240615,SUP006,P000407,22,2.99,65.78,Received
PL0000193,PO202400034,20240615,SUP006,P000378,23,3.49,80.27,Received
PL0000194,PO202400034,20240615,SUP006,P000413,24,1.89,45.36,Received
PL0000195,PO202500035,20250315,SUP006,P000419,22,3.49,76.78,Received
PL0000196,PO202500035,20250315,SUP006,P000428,22,1.39,30.58,Received
PL0000197,PO202500035,20250315,SUP006,P000427,24,1.39,33.36,Received
PL0000198,PO202500035,20250315,SUP006,P000362,24,2.49,59.76,Received
PL0000199,PO202500035,20250315,SUP006,P000435,23,4.49,103.27,Received
PL0000200,PO202500035,20250315,SUP006,P000444,27,1.89,51.03,Received
PL0000201,PO202500035,20250315,SUP006,P000432,23,1.49,34.27,Received
PL0000202,PO202500036,20250315,SUP011,P000836,25,8.99,224.75,Received
PL0000203,PO202500036,20250315,SUP011,P000802,22,5.49,120.78,Received
PL0000204,PO202500036,20250315,SUP011,P000831,24,8.99,215.76,Received
PL0000205,PO202500036,20250315,SUP011,P000835,21,9.49,199.29,Received
PL0000206,PO202500037,20251015,SUP030,P000522,26,3.49,90.74,Received
PL0000207,PO202500037,20251015,SUP030,P000579,21,3.29,69.09,Received
PL0000208,PO202500037,20251015,SUP030,P000565,30,3.99,119.7,Received
PL0000209,PO202500037,20251015,SUP030,P000504,24,3.49,83.76,Received
PL0000210,PO202500037,20251015,SUP030,P000571,21,4.99,104.79,Received
PL0000211,PO202500037,20251015,SUP030,P000464,21,3.99,83.79,Received
PL0000212,PO202500037,20251015,SUP030,P000517,24,6.99,167.76,Received
PL0000213,PO202500037,20251015,SUP030,P000555,23,2.29,52.67,Received
PL0000214,PO202500038,20250115,SUP023,P000087,24,4.29,102.96,Received
PL0000215,PO202500038,20250115,SUP023,P000123,25,4.99,124.75,Received
PL0000216,PO202500038,20250115,SUP023,P000091,21,13.49,283.29,Received
PL0000217,PO202500038,20250115,SUP023,P000092,24,14.29,342.96,Received
PL0000218,PO202500038,20250115,SUP023,P000103,23,3.39,77.97,Received
PL0000219,PO202500038,20250115,SUP023,P000107,23,4.99,114.77,Received
PL0000220,PO202500039,20250415,SUP023,P000112,24,4.39,105.36,Received
PL0000221,PO202500039,20250415,SUP023,P000091,26,13.49,350.74,Received
PL0000222,PO202500039,20250415,SUP023,P000092,21,14.29,300.09,Received
PL0000223,PO202500039,20250415,SUP023,P000103,21,3.39,71.19,Received
PL0000224,PO202500039,20250415,SUP023,P000104,22,3.49,76.78,Received
PL0000225,PO202500039,20250415,SUP023,P000099,21,3.39,71.19,Received
PL0000226,PO202400040,20240615,SUP004,P000246,24,4.39,105.36,Received
PL0000227,PO202400040,20240615,SUP004,P000242,23,3.99,91.77,Received
PL0000228,PO202400040,20240615,SUP004,P000258,23,3.99,91.77,Received
PL0000229,PO202400040,20240615,SUP004,P000270,26,6.49,168.74,Received
PL0000230,PO202400040,20240615,SUP004,P000253,25,8.99,224.75,Received
PL0000231,PO202400040,20240615,SUP004,P000257,22,8.99,197.78,Received
PL0000232,PO202400040,20240615,SUP004,P000265,21,5.19,108.99,Received
PL0000233,PO202400040,20240615,SUP004,P000211,24,5.99,143.76,Received
PL0000234,PO202500041,20250215,SUP006,P000444,22,1.89,41.58,Received
PL0000235,PO202500041,20250215,SUP006,P000410,21,3.49,73.29,Received
PL0000236,PO202500041,20250215,SUP006,P000396,22,2.29,50.38,Received
PL0000237,PO202500041,20250215,SUP006,P000369,22,2.99,65.78,Received
PL0000238,PO202500041,20250215,SUP006,P000390,25,1.29,32.25,Received
PL0000239,PO202500041,20250215,SUP006,P000404,22,2.99,65.78,Received
PL0000240,PO202500042,20251015,SUP030,P000573,22,3.99,87.78,Received
PL0000241,PO202500042,20251015,SUP030,P000518,21,5.99,125.79,Received
PL0000242,PO202500042,20251015,SUP030,P000549,26,1.49,38.74,Received
PL0000243,PO202500042,20251015,SUP030,P000501,24,1.49,35.76,Received
PL0000244,PO202400043,20240615,SUP002,P000126,23,4.89,112.47,Received
PL0000245,PO202400043,20240615,SUP002,P000102,24,3.19,76.56,Received
PL0000246,PO202400043,20240615,SUP002,P000084,22,4.49,98.78,Received
PL0000247,PO202400043,20240615,SUP002,P000085,21,4.79,100.59,Received
PL0000248,PO202400043,20240615,SUP002,P000129,22,4.49,98.78,Received
PL0000249,PO202400043,20240615,SUP002,P000072,26,2.69,69.94,Received
PL0000250,PO202500044,20251115,SUP006,P000435,25,4.49,112.25,Received
PL0000251,PO202500044,20251115,SUP006,P000374,24,2.59,62.16,Received
PL0000252,PO202500044,20251115,SUP006,P000421,26,3.29,85.54,Received
PL0000253,PO202500044,20251115,SUP006,P000376,23,2.99,68.77,Received
PL0000254,PO202500045,20250715,SUP030,P000477,22,1.79,39.38,Received
PL0000255,PO202500045,20250715,SUP030,P000587,24,3.49,83.76,Received
PL0000256,PO202500045,20250715,SUP030,P000479,27,1.79,48.33,Received
PL0000257,PO202500045,20250715,SUP030,P000517,22,6.99,153.78,Received
PL0000258,PO202500045,20250715,SUP030,P000507,21,3.69,77.49,Received
PL0000259,PO202400046,20241115,SUP008,P000628,25,6.99,174.75,Received
PL0000260,PO202400046,20241115,SUP008,P000595,25,4.69,117.25,Received
PL0000261,PO202400046,20241115,SUP008,P000614,21,5.29,111.09,Received
PL0000262,PO202400046,20241115,SUP008,P000609,27,3.99,107.73,Received
PL0000263,PO202400046,20241115,SUP008,P000610,23,3.99,91.77,Received
PL0000264,PO202400046,20241115,SUP008,P000624,24,5.49,131.76,Received
PL0000265,PO202400046,20241115,SUP008,P000608,25,3.49,87.25,Received
PL0000266,PO202400046,20241115,SUP008,P000619,24,6.99,167.76,Received
PL0000267,PO202400047,20240415,SUP012,P000026,25,5.69,142.25,Received
PL0000268,PO202400047,20240415,SUP012,P000004,22,5.29,116.38,Received
PL0000269,PO202400047,20240415,SUP012,P000061,26,5.99,155.74,Received
PL0000270,PO202400047,20240415,SUP012,P000020,25,6.79,169.75,Received
PL0000271,PO202400047,20240415,SUP012,P000069,22,5.99,131.78,Received
PL0000272,PO202400047,20240415,SUP012,P000016,22,6.49,142.78,Received
PL0000273,PO202400047,20240415,SUP012,P000057,21,6.99,146.79,Received
PL0000274,PO202500048,20250515,SUP006,P000392,22,1.09,23.98,Pending
PL0000275,PO202500048,20250515,SUP006,P000414,23,1.89,43.47,Pending
PL0000276,PO202500048,20250515,SUP006,P000407,21,2.99,62.79,Pending
PL0000277,PO202500048,20250515,SUP006,P000373,25,2.49,62.25,Pending
PL0000278,PO202400049,20240615,SUP023,P000099,23,3.39,77.97,Pending
PL0000279,PO202400049,20240615,SUP023,P000103,25,3.39,84.75,Pending
PL0000280,PO202400049,20240615,SUP023,P000128,21,4.19,87.99,Pending
PL0000281,PO202400049,20240615,SUP023,P000104,23,3.49,80.27,Pending
PL0000282,PO202400049,20240615,SUP023,P000116,22,3.49,76.78,Pending
PL0000283,PO202500050,20250815,SUP004,P000239,21,5.99,125.79,Received
PL0000284,PO202500050,20250815,SUP004,P000256,23,7.99,183.77,Received
PL0000285,PO202500050,20250815,SUP004,P000223,22,3.29,72.38,Received
PL0000286,PO202500050,20250815,SUP004,P000252,22,7.99,175.78,Received
PL0000287,PO202500050,20250815,SUP004,P000220,21,3.29,69.09,Received
PL0000288,PO202500050,20250815,SUP004,P000217,28,5.79,162.12,Received
PL0000289,PO202500050,20250815,SUP004,P000263,21,5.29,111.09,Received
PL0000290,PO202400051,20240115,SUP030,P000555,27,2.29,61.83,Received
PL0000291,PO202400051,20240115,SUP030,P000506,33,3.69,121.77,Received
PL0000292,PO202400051,20240115,SUP030,P000570,23,5.49,126.27,Received
PL0000293,PO202400051,20240115,SUP030,P000582,24,3.99,95.76,Received
PL0000294,PO202400051,20240115,SUP030,P000583,22,4.99,109.78,Received
PL0000295,PO202400051,20240115,SUP030,P000514,22,12.99,285.78,Received
PL0000296,PO202400051,20240115,SUP030,P000525,24,5.99,143.76,Received
PL0000297,PO202400052,20240515,SUP014,P000175,22,3.69,81.18,Received
PL0000298,PO202400052,20240515,SUP014,P000172,23,2.99,68.77,Received
PL0000299,PO202400052,20240515,SUP014,P000201,22,2.19,48.18,Received
PL0000300,PO202400052,20240515,SUP014,P000171,22,1.69,37.18,Received
PL0000301,PO202400052,20240515,SUP014,P000187,24,2.89,69.36,Received
PL0000302,PO202400052,20240515,SUP014,P000163,21,5.29,111.09,Received
PL0000303,PO202400052,20240515,SUP014,P000182,23,4.49,103.27,Received
PL0000304,PO202400053,20241015,SUP016,P000323,24,2.19,52.56,Received
PL0000305,PO202400053,20241015,SUP016,P000358,21,5.99,125.79,Received
PL0000306,PO202400053,20241015,SUP016,P000313,23,7.49,172.27,Received
PL0000307,PO202400053,20241015,SUP016,P000279,24,2.29,54.96,Received
PL0000308,PO202400053,20241015,SUP016,P000299,24,2.19,52.56,Received
PL0000309,PO202400053,20241015,SUP016,P000355,26,4.29,111.54,Received
PL0000310,PO202400053,20241015,SUP016,P000276,23,2.29,52.67,Received
PL0000311,PO202400053,20241015,SUP016,P000314,22,7.79,171.38,Received
PL0000312,PO202400054,20241115,SUP012,P000004,23,5.29,121.67,Received
PL0000313,PO202400054,20241115,SUP012,P000020,22,6.79,149.38,Received
PL0000314,PO202400054,20241115,SUP012,P000030,25,5.99,149.75,Received
PL0000315,PO202400054,20241115,SUP012,P000019,23,5.99,137.77,Received
PL0000316,PO202400054,20241115,SUP012,P000021,25,6.99,174.75,Received
PL0000317,PO202400054,20241115,SUP012,P000061,21,5.99,125.79,Received
PL0000318,PO202500055,20250315,SUP002,P000122,22,3.69,81.18,Received
PL0000319,PO202500055,20250315,SUP002,P000094,28,4.19,117.32,Received
PL0000320,PO202500055,20250315,SUP002,P000126,22,4.89,107.58,Received
PL0000321,PO202500055,20250315,SUP002,P000071,24,2.49,59.76,Received
PL0000322,PO202500055,20250315,SUP002,P000120,22,3.99,87.78,Received
PL0000323,PO202500056,20250815,SUP023,P000108,27,5.19,140.13,Received
PL0000324,PO202500056,20250815,SUP023,P000098,22,2.59,56.98,Received
PL0000325,PO202500056,20250815,SUP023,P000086,23,4.29,98.67,Received
PL0000326,PO202500056,20250815,SUP023,P000103,25,3.39,84.75,Received
PL0000327,PO202500056,20250815,SUP023,P000116,21,3.49,73.29,Received
PL0000328,PO202500056,20250815,SUP023,P000124,24,5.39,129.36,Received
PL0000329,PO202500056,20250815,SUP023,P000082,22,3.19,70.18,Received
PL0000330,PO202500056,20250815,SUP023,P000073,26,2.39,62.14,Received
PL0000331,PO202500057,20250515,SUP005,P000359,22,5.99,131.78,Received
PL0000332,PO202500057,20250515,SUP005,P000274,23,2.29,52.67,Received
PL0000333,PO202500057,20250515,SUP005,P000275,22,2.29,50.38,Received
PL0000334,PO202500057,20250515,SUP005,P000297,24,1.89,45.36,Received
PL0000335,PO202500057,20250515,SUP005,P000285,21,2.49,52.29,Received
PL0000336,PO202500057,20250515,SUP005,P000271,25,2.29,57.25,Received
PL0000337,PO202500058,20250515,SUP006,P000428,22,1.39,30.58,Received
PL0000338,PO202500058,20250515,SUP006,P000431,23,1.49,34.27,Received
PL0000339,PO202500058,20250515,SUP006,P000384,23,0.99,22.77,Received
PL0000340,PO202500058,20250515,SUP006,P000414,23,1.89,43.47,Received
PL0000341,PO202500058,20250515,SUP006,P000442,26,3.89,101.14,Received
PL0000342,PO202500058,20250515,SUP006,P000444,27,1.89,51.03,Received
PL0000343,PO202500058,20250515,SUP006,P000407,21,2.99,62.79,Received
PL0000344,PO202400059,20241015,SUP005,P000290,21,4.99,104.79,Received
PL0000345,PO202400059,20241015,SUP005,P000307,26,4.79,124.54,Received
PL0000346,PO202400059,20241015,SUP005,P000357,26,5.99,155.74,Received
PL0000347,PO202400059,20241015,SUP005,P000291,27,1.89,51.03,Received
PL0000348,PO202400059,20241015,SUP005,P000347,27,2.49,67.23,Received
PL0000349,PO202400060,20240815,SUP008,P000595,24,4.69,112.56,Received
PL0000350,PO202400060,20240815,SUP008,P000601,23,4.49,103.27,Received
PL0000351,PO202400060,20240815,SUP008,P000596,25,4.99,124.75,Received
PL0000352,PO202400060,20240815,SUP008,P000632,22,7.99,175.78,Received
PL0000353,PO202400060,20240815,SUP008,P000600,21,6.49,136.29,Received
PL0000354,PO202400060,20240815,SUP008,P000610,21,3.99,83.79,Received
PL0000355,PO202400061,20241115,SUP023,P000124,24,5.39,129.36,Received
PL0000356,PO202400061,20241115,SUP023,P000083,22,3.29,72.38,Received
PL0000357,PO202400061,20241115,SUP023,P000117,22,3.59,78.98,Received
PL0000358,PO202400061,20241115,SUP023,P000103,30,3.39,101.7,Received
PL0000359,PO202400061,20241115,SUP023,P000107,23,4.99,114.77,Received
PL0000360,PO202400061,20241115,SUP023,P000128,29,4.19,121.51,Received
PL0000361,PO202400061,20241115,SUP023,P000079,24,2.89,69.36,Received
PL0000362,PO202500062,20250415,SUP010,P000749,21,5.99,125.79,Received
PL0000363,PO202500062,20250415,SUP010,P000722,29,3.29,95.41,Received
PL0000364,PO202500062,20250415,SUP010,P000766,29,6.99,202.71,Received
